,index,doctor_altruism,doctor_likes_soldier,doctor_likes_actor,doctor_has_food,doctor_has_meds,soldier_altruism,soldier_likes_doctor,soldier_likes_actor,soldier_has_food,soldier_has_meds,actor_altruism,actor_likes_doctor,actor_likes_soldier,actor_has_food,actor_has_meds,food_quantity,meds_quantity,active,results,wants_meds,wants_food,attacks_doctor,attacks_soldier,attacks_actor
0,0,-2,-2,-2,0,0,0,2,0,0,0,1,0,-1,0,0,1,1,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
1,15,-2,-2,-2,0,0,0,2,0,0,0,1,0,-1,1,0,0,0,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
2,30,-2,-2,-2,0,0,0,2,0,0,0,1,0,-1,1,1,0,1,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
3,45,-2,-2,-2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
4,60,-2,-2,-2,0,0,0,2,0,0,0,1,0,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
5,75,-2,-2,-2,0,0,0,2,0,0,0,1,0,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
6,90,-2,-2,-2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
7,105,-2,-2,-2,0,0,0,2,0,0,0,1,0,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
8,120,-2,-2,-2,0,0,0,2,0,0,0,1,0,1,1,0,1,1,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
9,135,-2,-2,-2,0,0,0,2,0,0,0,1,0,2,0,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
10,150,-2,-2,-2,0,0,0,2,0,0,0,1,0,2,0,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
11,165,-2,-2,-2,0,0,0,2,0,0,0,1,0,2,1,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
12,180,-2,-2,-2,0,0,0,2,0,0,0,1,0,2,1,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
13,195,-2,-2,-2,0,0,0,2,0,0,0,1,1,-2,0,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
14,210,-2,-2,-2,0,0,0,2,0,0,0,1,1,-2,1,0,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
15,225,-2,-2,-2,0,0,0,2,0,0,0,1,1,-2,1,1,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
16,240,-2,-2,-2,0,0,0,2,0,0,0,1,1,-1,0,0,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
17,255,-2,-2,-2,0,0,0,2,0,0,0,1,1,-1,1,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
