,doctor_altruism,doctor_likes_soldier,doctor_likes_actor,doctor_has_food,doctor_has_meds,soldier_altruism,soldier_likes_doctor,soldier_likes_actor,soldier_has_food,soldier_has_meds,actor_altruism,actor_likes_doctor,actor_likes_soldier,actor_has_food,actor_has_meds,food_quantity,meds_quantity,active,results
0,-1,0,0,0,0,2,-1,-1,1,1,-1,-2,-2,0,1,0,1,actor,
1,-2,-2,1,1,0,0,0,-2,1,1,2,1,2,0,0,1,0,actor,
2,2,1,-2,0,0,-1,1,-2,1,0,-1,2,-1,1,1,1,1,soldier,
3,0,2,2,1,1,1,1,1,1,1,1,2,-2,1,1,0,0,soldier,
4,-1,1,2,1,1,2,1,-1,0,1,-1,0,1,0,0,0,1,actor,
5,1,0,-1,1,1,2,-2,-1,0,1,1,1,2,1,1,0,0,actor,
6,0,2,1,1,1,0,-2,2,0,1,0,1,2,1,0,1,1,actor,
7,1,2,-1,1,1,-2,-1,-1,1,0,0,1,-1,0,1,1,0,doctor,
8,1,1,-1,0,0,1,-1,-1,1,0,0,1,-1,0,1,1,0,doctor,
9,2,2,2,0,0,2,0,0,0,1,1,0,-2,1,0,0,1,doctor,
10,-2,-1,-2,1,0,-2,0,2,1,1,1,-2,-2,1,1,1,0,soldier,
11,-1,2,0,1,0,1,2,0,1,0,-2,2,0,1,0,0,1,doctor,
12,0,1,1,1,0,0,1,-2,1,1,0,0,0,0,0,0,0,actor,
13,-2,0,0,1,1,2,2,0,1,1,2,2,-1,1,0,1,1,soldier,
14,-2,-2,1,0,0,1,-2,-2,1,1,1,0,0,1,1,0,1,actor,
15,0,-1,1,1,1,0,1,0,1,0,-2,0,1,0,0,1,0,actor,
16,1,2,1,0,1,-1,-1,2,1,0,0,-2,2,0,0,1,0,doctor,
17,0,2,2,0,0,2,-1,0,0,0,2,0,0,0,0,1,0,soldier,
18,0,-1,2,1,1,2,1,-1,0,0,-1,-2,2,0,1,1,1,doctor,
19,0,2,-1,1,0,-2,2,-2,1,1,1,0,2,1,1,1,0,actor,
20,0,1,-2,0,0,0,-1,2,0,0,1,2,2,0,0,0,1,doctor,
21,2,0,-2,1,0,-1,1,-1,0,0,-1,1,-1,0,1,0,1,doctor,
22,1,-1,-2,0,1,-1,2,-1,1,0,1,-2,2,0,0,1,0,actor,
23,-2,-1,-1,1,0,2,1,2,1,0,2,-2,-1,1,0,1,1,soldier,
24,0,2,2,0,1,1,-2,-1,0,0,2,1,1,1,0,1,1,doctor,
25,2,1,-2,1,1,-1,0,-1,1,1,2,-2,1,0,1,1,1,doctor,
26,2,-2,1,0,0,-2,1,2,0,0,-2,-2,-1,1,1,0,1,doctor,
27,1,1,1,1,1,-1,-1,2,1,0,1,1,2,0,1,0,0,actor,
