index,Unnamed: 0,char_acting_altruism,char_acting_ambition,char_acting_fighting_ability,char_acting_safety,char_acting_food,char_acting_satisfaction,char_acting_likes_char1,char_acting_likes_char2,char1_altruism,char1_ambition,char1_fighting_ability,char1_safety,char1_food,char1_satisfaction,char1_likes_char_acting,char1_likes_char2,char2_altruism,char2_ambition,char2_fighting_ability,char2_safety,char2_food,char2_satisfaction,char2_likes_char_acting,char2_likes_char1,ghost_relations,overall_food,overall_coins,results,helps_all,helps_ego,survives
0,0,-1,0,0,-1,0,-1,0,1,1,1,-1,2,0,1,-1,1,-1,1,-1,0,0,1,0,1,0,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
1,1,-1,1,0,-1,0,1,-1,1,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,0,0,1,0,1,0,"No solution exists.
",0,0,0
2,2,-1,0,0,2,0,-1,-1,0,-1,1,0,0,0,0,-1,0,1,0,1,0,0,0,-1,0,0,0,1,"survive(char_acting)
",0,0,1
3,3,1,-1,-1,2,0,0,-1,1,0,0,1,-1,0,1,1,1,1,-1,1,1,0,1,0,1,0,1,1,"survive(char_acting)
",0,0,1
4,4,1,0,1,2,0,0,1,0,1,1,1,2,0,1,-1,1,-1,-1,1,1,0,-1,1,1,1,0,1,"survive(char_acting)
",0,0,1
5,5,0,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,0,1,-1,1,1,1,0,2,0,1,0,0,0,1,0,"survive(char_acting)
",0,0,1
6,6,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,1,1,-1,1,1,0,0,0,-1,0,0,1,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
7,7,1,1,1,-1,0,0,1,0,0,1,0,0,0,-1,0,0,1,-1,0,0,0,-1,-1,1,0,0,0,"fight_monster(char_acting) help_everyone(char_acting)
",1,0,0
8,8,-1,-1,-1,0,0,-1,0,0,-1,1,1,0,0,1,0,1,0,-1,1,0,0,1,0,0,1,1,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
9,9,0,-1,-1,2,0,1,-1,1,0,-1,0,1,0,-1,1,1,1,0,-1,0,0,0,1,1,0,1,1,"survive(char_acting)
",0,0,1
10,10,1,-1,0,-1,0,1,-1,0,0,-1,-1,2,0,1,1,1,1,-1,0,1,0,-1,-1,1,1,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
11,11,1,-1,1,0,0,-1,1,1,1,-1,1,0,0,0,1,0,1,-1,1,0,0,1,1,0,1,0,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
12,12,1,0,0,-1,0,0,-1,0,-1,-1,-1,-1,0,1,-1,0,-1,1,1,-1,0,1,0,1,0,0,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
13,13,0,1,-1,-1,0,-1,1,0,1,-1,1,-1,0,1,-1,0,0,1,0,0,0,-1,0,0,0,1,0,"help_everyone(char_acting)
",1,0,0
14,14,-1,0,1,-1,0,0,-1,1,0,-1,1,1,0,-1,-1,1,1,0,-1,-1,0,0,0,0,0,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
15,15,1,1,1,0,0,-1,0,1,-1,0,1,2,0,1,-1,0,-1,-1,-1,2,0,0,1,1,0,1,1,"help_everyone(char_acting)
",1,0,0
16,16,-1,1,1,2,0,-1,-1,0,-1,-1,1,-1,0,0,0,0,0,0,1,2,0,1,1,1,1,0,0,"No solution exists.
",0,0,0
17,17,1,1,-1,-1,0,0,0,0,-1,1,0,2,0,0,0,0,0,0,0,2,0,-1,0,1,1,1,1,"help_everyone(char_acting)
",1,0,0
18,18,-1,1,0,1,0,1,0,1,-1,-1,1,-1,0,0,0,1,1,0,1,2,0,0,-1,1,1,0,1,"No solution exists.
",0,0,0
19,19,-1,1,1,0,0,-1,0,0,0,1,-1,-1,0,-1,1,0,-1,1,-1,1,0,-1,-1,1,1,1,1,"No solution exists.
",0,0,0
20,20,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,-1,1,-1,1,0,0,1,1,0,1,0,"survive(char_acting)
",0,0,1
21,21,0,-1,-1,-1,0,0,-1,0,1,1,-1,-1,0,-1,1,0,-1,-1,-1,1,0,1,1,0,0,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
22,22,1,1,1,0,0,1,-1,1,0,0,-1,1,0,1,1,1,-1,0,-1,-1,0,0,0,0,0,1,1,"help_everyone(char_acting)
",1,0,0
