action,effect,effect_function
change_health_down,health(char2) - 1,arg2_health:-_1
change_health_up,health(char2) + 1,arg2_health:+_1
change_knowledge_down,knowledge(char2) - 1,arg2_knowledge:-_1
change_knowledge_up,knowledge(char) + 1,arg1_knowledge:+_1
change_relation_down,"relation(char2,char3) - 1;health(char) - 1","arg2_relation_arg3:-_1;
arg1_health:-_1"
change_relation_up,"relation(char2,char3) + 1",arg2_relation_arg3:+_1
hide,state(char) = hidden,arg1_state:=_hidden
find,state(char2) = ?,arg2_state:=_?
block,state(char2) = blocked,arg2_state:=_blocked
unblock,state(char2) = ?,arg2_state:=_?
unblock_yourself,state(char) = ?,arg1_state:=_?
change_ship_defense_down,ship_defense(world) - 1,ship_defense:-_1
change_ship_defense_up,ship_defense(world) + 1,ship_defense:+_1
change_ship_magic_down,ship_magic(world) - 1,ship_magic:-_1
change_ship_magic_up,ship_magic(world) + 1,ship_magic:+_1
change_ship_status_down,ship_status(world) - 1,ship_status:-_1
change_ship_status_up,ship_status(world) + 1,ship_status:+_1
support,"supports(char,char2);support(char2) + 1","arg1_supports_arg2:=_1;
arg2_support:+_1"
lose_support,"!supports(char,char2);support(char2) - 1","arg1_supports_arg2:=_0;
arg2_support:-_1"
support_money,"supports(char2,char3;support(char3) + 1;money(char) + 1;money(char2) - 1","arg2_supports_arg3:=_1;
arg3_support:+_1;
arg1_money:+_1;
arg2_money:-_1;"
lose_support_money,"!supports(char2,char3;support(char3) - 1;money(char) - 1;money(char2) + 1","arg2_supports_arg3:=_0;
arg3_support:-_1;
arg1_money:-_1;
arg2_money:+_1;"
support_authority,"support(char3) + 1;supports(char2,char3)","arg2_supports_arg3:=_1;
arg3_support:+_1;
"
lose_support_authority,"!supports(char2,char3);support(char3) - 1","arg2_supports_arg3:=_0;
arg3_support:-_1;
"
