,char_acting_health,char_acting_knowledge,char_acting_altruism,char_acting_ambition,char_acting_support,char_acting_money,char_acting_satisfaction,char_acting_state,char_acting_relation_char1,char_acting_supports_char1,char_acting_relation_char2,char_acting_supports_char2,char1_health,char1_knowledge,char1_altruism,char1_ambition,char1_support,char1_money,char1_satisfaction,char1_state,char1_relation_char_acting,char1_supports_char_acting,char1_relation_char2,char1_supports_char2,char2_health,char2_knowledge,char2_altruism,char2_ambition,char2_support,char2_money,char2_satisfaction,char2_state,char2_relation_char_acting,char2_supports_char_acting,char2_relation_char1,char2_supports_char1,ship_defense,ship_status,ship_magic,results,time
0,1,1,2,4,0,0,0,hidden,1,0,1,1,0,0,2,4,1,1,0,hidden,-1,1,2,1,1,2,0,3,1,1,0,hidden,0,1,2,1,0,-1,-1,"Time limit reached.
",6.083830833435059
1,1,2,0,4,1,0,0,hidden,-2,1,-1,0,0,1,-1,2,1,1,0,blocked,-1,0,1,0,0,0,0,4,1,0,0,?,-1,1,-1,0,-1,1,-1,"key_action2(char_acting)
",0.840146541595459
2,1,1,2,4,0,0,0,hidden,1,0,0,0,2,1,-2,1,1,1,0,?,1,0,0,1,0,1,1,3,1,1,0,blocked,1,1,1,0,1,1,1,"Time limit reached.
",5.8274688720703125
3,2,2,2,1,0,1,0,blocked,1,1,-1,0,1,0,-2,1,1,1,0,hidden,0,0,0,1,0,0,-2,0,1,1,0,blocked,2,0,-1,0,0,1,-1,"unblock_yourself(char_acting) change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.1801764965057373
4,2,2,0,0,1,1,0,blocked,1,1,-1,0,0,2,0,0,0,0,0,?,-2,1,0,0,1,1,-2,3,0,0,0,?,1,1,2,1,0,0,-1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.3373744487762451
5,0,1,-2,0,0,0,0,blocked,-1,1,1,1,2,0,-2,3,0,1,0,hidden,-2,1,1,0,0,1,0,1,1,1,0,hidden,0,0,-1,0,1,0,1,"No solution exists.
",0.8712723255157471
6,0,2,2,0,1,0,0,?,0,1,-1,1,0,1,0,4,0,1,0,?,-2,1,-1,0,2,1,-2,2,1,1,0,?,0,1,1,1,0,0,1,"No solution exists.
",0.7959232330322266
7,1,0,1,4,1,0,0,blocked,-2,0,-2,0,2,1,0,2,1,0,0,?,2,0,1,1,2,1,-1,1,0,0,0,hidden,1,1,2,1,-1,0,1,"Time limit reached.
",5.862107276916504
8,2,1,2,3,0,1,0,hidden,2,1,0,0,2,1,-1,2,0,1,0,blocked,0,1,0,0,2,1,-1,3,0,0,0,hidden,-1,0,-1,0,1,-1,-1,"change_health_up(char_acting, char_acting) key_action2(char_acting)
",1.0040192604064941
9,2,1,0,2,0,0,0,blocked,-1,1,-1,1,2,2,1,2,1,1,0,blocked,1,1,0,0,0,1,0,2,1,1,0,hidden,-2,0,-1,0,0,-1,1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.226034164428711
10,0,1,2,1,1,1,0,hidden,2,0,-1,1,1,0,1,4,0,0,0,?,-2,1,-2,1,0,0,1,3,1,0,0,?,2,0,1,0,-1,1,0,"No solution exists.
",1.5476937294006348
11,1,0,2,4,0,0,0,hidden,-2,0,-2,1,2,0,1,3,0,0,0,blocked,-1,0,0,0,2,0,1,4,1,1,0,blocked,0,1,0,0,1,1,-1,"change_knowledge_up(char_acting) change_knowledge_up(char_acting) change_health_up(char_acting, char_acting) change_relation_down(char_acting, char2, char1) key_action2(char_acting)
",1.6510756015777588
12,2,2,-2,2,1,1,0,hidden,1,1,-1,1,2,0,2,4,0,1,0,blocked,-2,1,0,1,0,1,-1,0,0,0,0,?,0,0,0,0,-1,1,1,"key_action3(char_acting)
",1.1717374324798584
13,1,2,-2,2,0,0,0,?,2,1,1,1,0,1,2,0,1,1,0,hidden,2,1,0,1,2,0,1,0,1,1,0,hidden,-1,1,2,1,0,1,1,"key_action3(char_acting)
",1.647641897201538
14,2,1,1,0,0,1,0,?,-2,0,-2,1,1,1,1,2,1,1,0,hidden,2,0,0,0,0,2,1,3,0,0,0,blocked,-2,1,0,1,1,0,-1,"change_ship_status_up(char_acting) change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.6643376350402832
15,0,1,1,3,1,0,0,?,1,1,0,0,1,2,1,4,1,1,0,hidden,-2,0,-1,1,2,0,-1,0,0,0,0,?,0,1,0,0,1,0,1,"No solution exists.
",1.1295266151428223
16,2,1,-1,3,0,0,0,hidden,-2,1,0,1,1,0,2,0,0,0,0,hidden,-2,0,-1,0,0,0,-1,2,1,0,0,?,-1,0,-2,0,0,-1,-1,"change_health_up(char_acting, char_acting) key_action2(char_acting)
",1.1832621097564697
17,2,1,1,1,1,0,0,?,1,1,-1,1,1,1,-1,1,0,0,0,?,2,0,-1,1,1,0,-2,1,0,1,0,hidden,2,0,-1,0,1,1,-1,"change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.3852381706237793
18,2,0,2,1,1,1,0,hidden,-2,0,-1,0,1,2,-1,3,1,0,0,hidden,-2,0,-2,1,2,1,1,4,1,1,0,blocked,-1,1,1,1,0,-1,-1,"change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.7677392959594727
19,1,1,-2,3,0,0,0,?,2,0,-2,1,1,0,2,4,0,1,0,?,1,0,0,0,0,2,0,4,0,0,0,hidden,-1,1,-2,0,1,-1,0,"change_health_up(char_acting, char_acting) change_health_up(char_acting, char_acting) key_action2(char_acting)
",1.243194580078125
20,2,2,2,3,0,0,0,hidden,1,0,2,0,2,1,-2,2,0,1,0,hidden,0,1,-2,0,1,2,-1,3,1,0,0,hidden,1,1,-2,0,-1,1,-1,"key_action2(char_acting)
",1.2579829692840576
21,1,0,0,3,1,1,0,?,-2,0,-1,1,2,1,-1,3,1,0,0,hidden,2,0,2,1,0,1,-1,4,1,0,0,hidden,0,1,-1,0,0,0,1,"change_health_up(char_acting, char_acting) change_health_up(char_acting, char_acting) key_action2(char_acting)
",1.1801767349243164
22,0,1,-2,0,0,1,0,hidden,-2,1,-2,0,2,2,0,4,1,0,0,?,-2,1,2,1,2,0,2,3,1,0,0,blocked,2,1,-2,0,0,-1,-1,"No solution exists.
",0.9866487979888916
23,0,1,-1,4,0,0,0,blocked,-2,0,-2,0,0,0,-2,3,0,1,0,hidden,1,1,1,1,0,0,1,4,1,0,0,blocked,-2,0,0,0,-1,1,0,"No solution exists.
",1.097245454788208
24,1,1,-2,1,1,1,0,hidden,-2,0,-2,0,1,1,0,2,1,0,0,blocked,-2,1,-2,0,1,0,-1,2,0,1,0,hidden,-1,1,1,1,0,0,0,"change_ship_magic_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.2284486293792725
25,1,1,1,3,0,1,0,?,2,1,0,0,0,0,-1,4,1,0,0,blocked,-2,1,1,0,2,0,0,3,1,0,0,blocked,2,1,1,0,0,1,1,"Time limit reached.
",5.867611885070801
26,2,1,-1,3,1,1,0,?,-2,1,2,0,2,0,1,2,1,0,0,?,-1,1,-2,0,0,1,2,4,1,0,0,hidden,2,1,-2,1,-1,1,-1,"key_action2(char_acting)
",1.0607597827911377
27,0,2,-1,1,1,1,0,hidden,0,1,-2,1,0,1,2,3,0,0,0,?,1,0,2,0,0,0,1,4,0,0,0,blocked,-2,1,0,1,1,-1,1,"No solution exists.
",1.039841890335083
28,1,1,-1,4,1,0,0,blocked,2,1,-2,1,2,1,2,0,1,1,0,hidden,2,0,-2,0,0,2,0,4,1,0,0,hidden,-1,1,0,0,-1,0,1,"unblock_yourself(char_acting) change_health_up(char_acting, char_acting) change_relation_down(char_acting, char2, char1) key_action2(char_acting)
",1.505267858505249
