index,1,2,3,4,5,6,7,8
1,altruism(char) >= -3,altruism(char) >= -2,altruism(char)>= -1,altruism(char)>= 0,altruism(char)>= 1,altruism(char)>= 2,altruism(char) >= 3,
2,altruism(char) <= -3,altruism(char) <= -2,altruism(char)<= -1,altruism(char)<= 0,altruism(char)<= 1,altruism(char)<= 2,altruism(char) <= 3,
3,ambition(char) == 0 ,ambition(char) > 0,ambition(char) > 1,ambition(char) > 2,ambition(char) > 3,ambition(char) == 1,ambition(char) > 4,
4,ambition(char) == 0 ,ambition(char) < 0,ambition(char) < 1,ambition(char) < 2,ambition(char) < 3,ambition(char) == 1,ambition(char) < 4,
5,health(char) == 0 ,health(char) > 0,health(char) > 1,health(char) > 2,health(char) > 3,,,
6,health(char) == 0 ,health(char) < 0,health(char) < 1,health(char) < 2,health(char) < 3,,,
7,health(char2) == 0 ,health(char2) > 0,health(char2) > 1,health(char2) > 2,health(char2) > 3,,,
8,health(char2) == 0 ,health(char2) < 0,health(char2) < 1,health(char2) < 2,health(char2) < 3,,,
9,knowledge(char) == 0 ,knowledge(char) > 0,knowledge(char) > 1,knowledge(char) > 2,knowledge(char) > 3,,,
10,knowledge(char) == 0 ,knowledge(char) < 0,knowledge(char) <= 1,knowledge(char) <= 2,knowledge(char) <= 3,,,
11,knowledge(char2) == 0 ,knowledge(char2) > 0,knowledge(char2) > 1,knowledge(char2) > 2,knowledge(char2) > 3,,,
12,knowledge(char2) == 0 ,knowledge(char2) < 0,knowledge(char2) <= 1,knowledge(char2) <= 2,knowledge(char2) <= 3,,,
13,knowledge(char) > knowledge(char2),knowledge(char2) > knowledge(char),,,,,,
14,threat(char) == 0 ,threat(char) > 0,threat(char) > 1,threat(char) > 2,threat(char) > 3,threat(char) > 4,threat(char) > 5,
15,threat(char) == 0 ,threat(char) < 0,threat(char) <= 1,threat(char) <= 2,threat(char) <= 3,threat(char) <= 4,threat(char) <= 5,
16,threat(char2) == 0 ,threat(char2) > 0,threat(char2) > 1,threat(char2) > 2,threat(char2) > 3,threat(char2) > 4,threat(char2) > 5,
17,threat(char2) == 0 ,threat(char2) < 0,threat(char2) <= 1,threat(char2) <= 2,threat(char2) <= 3,threat(char2) <= 4,threat(char2) <= 5,
18,threat(char) > threat(char2),threat(char2) > threat(char),,,,,,
19,authority(char) == 0 ,authority(char) > 0,authority(char) > 1,authority(char) > 2,authority(char) > 3,authority(char) > 4,authority(char) > 5,
20,authority(char) == 0 ,authority(char) < 0,authority(char) <= 1,authority(char) <= 2,authority(char) <= 3,authority(char) <= 4,authority(char) <= 5,
21,authority(char2) == 0 ,authority(char2) > 0,authority(char2) > 1,authority(char2) > 2,authority(char2) > 3,authority(char2) > 4,authority(char2) > 5,
22,authority(char2) == 0 ,authority(char2) < 0,authority(char2) <= 1,authority(char2) <= 2,authority(char2) <= 3,authority(char2) <= 4,authority(char2) <= 5,
23,authority(char) > authority(char2),authority(char2) > authority(char),,,,,,
24,has_item(char) == item,has_item(char) != item,has_item(char2) == item,has_item(char2) != item,has_item(char) == item2,has_item(char) != item2,has_item(char2) == item2,has_item(char2) != item2
25,has_item(char) == money,has_item(char) == food,has_item(char) == weapon,has_item(char) == medicine,has_item(char) == book,,,
26,has_item(char) != money,has_item(char) != food,has_item(char) != weapon,has_item(char) != medicine,has_item(char) != book,,,
27,"relation(char,char2) >= -3","relation(char,char2) >= -2","relation(char,char2)>= -1","relation(char,char2)>= 0","relation(char,char2)>= 1","relation(char,char2)>= 2","relation(char,char2) >= 3",
28,"relation(char,char2) <= -3","relation(char,char2) <= -2","relation(char,char2)<= -1","relation(char,char2)<= 0","relation(char,char2)<= 1","relation(char,char2)<= 2","relation(char,char2) <= 3",
29,"relation(char2,char) >= -3","relation(char2,char) >= -2","relation(char2,char)>= -1","relation(char2,char)>= 0","relation(char2,char)>= 1","relation(char2,char)>= 2","relation(char2,char) >= 3",
30,"relation(char2,char) <= -3","relation(char2,char) <= -2","relation(char2,char)<= -1","relation(char2,char)<= 0","relation(char2,char)<= 1","relation(char2,char)<= 2","relation(char2,char) <= 3",
31,"relation(char2,char3) >= -3","relation(char2,char3) >= -2","relation(char2,char3)>= -1","relation(char2,char3)>= 0","relation(char2,char3)>= 1","relation(char2,char3)>= 2","relation(char2,char3) >= 3",
32,"relation(char2,char3) <= -3","relation(char2,char3) <= -2","relation(char2,char3)<= -1","relation(char2,char3)<= 0","relation(char2,char3)<= 1","relation(char2,char3)<= 2","relation(char2,char3) <= 3",
33,threat(char) == 0 ,threat(char) > 0,threat(char) > 1,threat(char) > 2,threat(char) > 3,threat(char) > 4,threat(char) > 5,
34,in_danger(char) == 0 ,in_danger(char) < 0,in_danger(char) <= 1,in_danger(char) <= 2,in_danger(char) <= 3,in_danger(char) <= 4,in_danger(char) <= 5,
35,"willHarm(char2,char)","!willHarm(char2,char)","willHarm(char2,char3)","!willHarm(char2,char3)",,,,
36,"willHarm(char2,char)","!willHarm(char2,char)","willHarm(char2,char3)","!willHarm(char2,char3)",,,,
37,willSupport(char) == char2,willSupport(char2) == char3,willSupport(char2) == char,willSupport(char) != char2,willSupport(char2) != char3,willSupport(char2) != char,,
38,ship_defense(world) >= -3,ship_defense(world) >= -2,ship_defense(world)>= -1,ship_defense(world)>= 0,ship_defense(world)>= 1,ship_defense(world)>= 2,ship_defense(world) >= 3,
39,ship_defense(world) <= -3,ship_defense(world) <= -2,ship_defense(world)<= -1,ship_defense(world)<= 0,ship_defense(world)<= 1,ship_defense(world)<= 2,ship_defense(world) <= 3,
40,ship_magic(world) >= -3,ship_magic(world) >= -2,ship_magic(world)>= -1,ship_magic(world)>= 0,ship_magic(world)>= 1,ship_magic(world)>= 2,ship_magic(world) >= 3,
41,ship_magic(world) <= -3,ship_magic(world) <= -2,ship_magic(world)<= -1,ship_magic(world)<= 0,ship_magic(world)<= 1,ship_magic(world)<= 2,ship_magic(world) <= 3,
42,avalaible(item),!avalaible(item),,,,,,
