world_state,pirates_relation,pirates_power,pirates_treasure,pirates_knows_location_treasure,char1_power,char1_injured,char1_state,char1_at,char1_treasure,char1_altruism,char1_ambition,char1_knows_location_treasure,char1_has_access_pirates,char2_power,char2_injured,char2_state,char2_at,char2_treasure,char2_altruism,char2_ambition,char2_knows_location_treasure,char2_has_access_pirates,char3_power,char3_injured,char3_state,char3_at,char3_treasure,char3_altruism,char3_ambition,char3_knows_location_treasure,char3_has_access_pirates,ship_distraction,pirate_base_distraction,treasure_place_distraction,results,time
2,1,2,0,1,0,0,0,ship,3,0,1,0,0,1,0,0,ship,2,0,0,0,1,0,1,2,ship,0,1,0,0,1,0,0,0,"distraction(char1, ship) stun(char1, char2, ship) take_treasure_char(char1, char2, ship)
",6.255318880081177
1,1,2,2,1,0,0,2,pirate_base,0,0,0,1,1,0,1,0,ship,0,0,1,1,1,0,0,0,pirate_base,2,1,1,0,1,1,0,1,"travel(char1, ship) escape(char1)
",3.436302423477173
0,1,1,1,1,0,1,0,ship,0,0,0,1,0,0,0,0,treasure_place,3,0,0,0,1,0,1,2,pirate_base,3,1,1,1,0,1,0,1,"escape(char1)
",5.093580007553101
2,1,1,0,1,0,0,2,pirate_base,1,1,0,1,0,1,1,0,treasure_place,2,0,1,0,0,1,1,0,treasure_place,1,0,0,1,1,1,1,1,"travel(char1, ship) escape(char1)
",2.6615071296691895
1,1,1,2,0,0,0,2,treasure_place,3,0,1,0,0,1,1,0,treasure_place,2,1,0,1,1,1,1,0,ship,0,0,1,0,1,0,0,1,"get_access_pirates(char1) take_pirates_treasure(char1)
",2.5291600227355957
2,0,2,2,0,0,0,2,treasure_place,3,1,1,1,0,1,1,0,treasure_place,0,0,0,0,1,1,1,2,ship,1,1,1,0,1,0,0,1,"get_access_pirates(char1) take_pirates_treasure(char1)
",3.2193658351898193
1,0,1,1,0,0,0,0,treasure_place,0,0,0,1,0,0,1,0,pirate_base,2,0,0,0,0,0,0,2,treasure_place,1,1,1,0,0,0,0,0,"travel(char1, ship) escape_pirates_help(char1)
",3.2639291286468506
1,0,1,2,1,0,1,0,treasure_place,2,1,0,1,0,1,0,2,ship,1,1,1,1,1,0,1,2,pirate_base,2,0,1,1,0,1,1,1,"travel(char1, ship) escape(char1)
",2.968585729598999
2,0,0,2,0,0,1,0,treasure_place,1,1,1,1,1,1,1,2,treasure_place,2,0,1,0,0,0,0,2,pirate_base,2,1,1,0,0,0,0,1,"get_treasure(char1)
",3.685945510864258
0,0,1,0,1,1,0,2,ship,2,1,0,0,0,0,0,2,pirate_base,2,0,1,0,1,1,1,2,pirate_base,0,1,1,0,1,1,0,0,"escape(char1)
",3.186399221420288
0,1,2,1,1,0,1,2,treasure_place,3,1,0,1,0,0,0,2,ship,1,0,0,0,1,1,1,2,ship,2,1,0,0,0,1,0,1,"travel(char1, ship) escape(char1)
",3.2139577865600586
2,1,0,0,0,1,0,2,treasure_place,0,1,1,0,0,0,1,0,treasure_place,0,1,1,0,1,0,1,0,pirate_base,1,1,1,1,1,0,0,1,"get_access_pirates(char1) travel(char1, pirate_base) distraction(char1, pirate_base) stun(char1, char3, pirate_base) take_treasure_location_char(char1, char3, pirate_base) get_treasure(char1) give_pirates_treasure(char1) get_treasure(char1) get_treasure(char1) take_treasure_pirates(char1)
",6.769052505493164
0,0,0,2,1,0,0,0,treasure_place,1,1,1,0,0,0,1,0,treasure_place,1,0,1,1,0,0,0,2,treasure_place,3,1,0,0,0,1,1,1,"get_access_pirates(char1) take_pirates_treasure(char1)
",4.413958549499512
0,1,2,1,1,1,1,0,ship,1,0,0,1,1,1,0,0,pirate_base,3,0,1,0,0,1,1,0,pirate_base,2,0,0,0,0,1,0,1,"escape(char1)
",3.6243393421173096
1,0,1,2,0,0,0,2,treasure_place,0,0,1,0,1,0,1,2,ship,0,0,0,1,0,0,0,2,ship,0,1,1,1,1,1,1,1,"take_pirates_treasure(char1)
",3.2867209911346436
0,0,1,2,0,0,1,2,ship,3,1,1,0,1,0,0,0,treasure_place,2,0,1,0,1,1,1,0,pirate_base,0,1,1,0,1,1,0,0,"escape(char1)
",3.8508543968200684
1,1,0,0,0,0,0,0,pirate_base,2,1,1,1,0,0,1,2,treasure_place,1,1,0,0,1,1,0,2,treasure_place,0,0,0,0,1,0,1,0,"give_pirates_treasure(char1) get_treasure(char1) take_treasure_pirates(char1)
",4.2161924839019775
2,0,2,1,1,0,0,0,pirate_base,3,1,0,1,0,1,1,0,ship,2,1,1,1,0,0,1,2,ship,3,0,1,1,0,1,1,0,"travel(char1, ship) escape(char1)
",3.6387853622436523
0,0,2,2,0,1,1,0,pirate_base,0,1,0,0,1,0,0,2,treasure_place,3,1,0,0,1,0,1,0,pirate_base,2,1,1,1,1,0,0,0,"travel(char1, ship) distraction(char1, ship) escape(char1)
",3.6920201778411865
0,1,1,1,1,1,1,0,pirate_base,2,0,0,1,0,1,1,2,ship,1,1,1,0,1,1,1,2,pirate_base,3,0,1,0,1,0,1,1,"travel(char1, ship) distraction(char1, ship) escape(char1)
",4.6965672969818115
0,0,2,1,0,1,0,0,treasure_place,1,0,1,0,0,0,0,0,ship,2,0,1,0,1,1,1,2,pirate_base,2,0,1,1,1,0,1,1,"wait_for_night(char1) get_access_pirates(char1) take_pirates_treasure(char1)
",2.8095884323120117
1,1,2,2,1,0,1,2,pirate_base,2,1,0,1,0,1,0,0,pirate_base,1,1,1,0,0,0,1,2,ship,3,0,1,1,1,0,0,0,"travel(char1, ship) escape_pirates_help(char1)
",3.157829523086548
